"AverageShortestPathLength","BetweennessCentrality","Class","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Family","Genus","IsSingleNode","Kingdom","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Order","PartnerOfMultiEdgedNodePairs","Phylum","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.1962264150943396","9.482284301263076E-4","c__Alphaproteobacteria","0.45532646048109965","0.3235576923076923","65","3","f__Sphingomonadaceae","g__Sphingomonas.15","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae |  g__Sphingomonas.15","81.6923076923077","0","65","Sphingomonadales","0","p__Proteobacteria","0.9948215306705872","false","0","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae |  g__Sphingomonas.15","53464","0.10380216987586746"
"2.230188679245283","7.179641220357468E-4","c__Alphaproteobacteria","0.44839255499153974","0.41621621621621624","75","3","f__Sphingomonadaceae","g__Sphingomonas.16","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae |  g__Sphingomonas.16","90.58666666666667","0","75","Sphingomonadales","0","p__Proteobacteria","0.994674507882055","false","0","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae |  g__Sphingomonas.16","45994","0.12224921277552857"
"2.209433962264151","9.595602407303907E-4","c__Alphaproteobacteria","0.45260461144321096","0.3814866760168303","93","3","f__Sphingomonadaceae","g__Sphingomonas.17","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae |  g__Sphingomonas.17","89.60215053763442","0","93","Sphingomonadales","0","p__Proteobacteria","0.9947643551417137","false","0","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae |  g__Sphingomonas.17","49046","0.12027134300353612"
"2.25","8.280001448404141E-4","c__Alphaproteobacteria","0.4444444444444444","0.38883526383526384","112","3","f__Sphingomonadaceae","g__Sphingomonas.26","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae |  g__Sphingomonas.26","91.33928571428571","0","112","Sphingomonadales","0","p__Proteobacteria","0.9945887445887446","false","0","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae |  g__Sphingomonas.26","49184","0.13373248274419577"
"2.159433962264151","0.0012675582998227298","c__Alphaproteobacteria","0.4630843162953255","0.2613430127041742","58","3","f__Sphingomonadaceae","g__Sphingomonas.3","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae |  g__Sphingomonas.3","83.51724137931035","0","58","Sphingomonadales","0","p__Proteobacteria","0.9949808053581638","false","0","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae |  g__Sphingomonas.3","57680","0.10026079397276152"
"2.2216981132075473","7.693925440278559E-4","c__Alphaproteobacteria","0.4501061571125265","0.3531645569620253","80","3","f__Sphingomonadaceae","g__Sphingomonas.4","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae |  g__Sphingomonas.4","98.875","0","80","Sphingomonadales","0","p__Proteobacteria","0.9947112635791882","false","0","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae |  g__Sphingomonas.4","46326","0.13271812080536913"
"2.211320754716981","0.001015886302819687","c__Alphaproteobacteria","0.4522184300341297","0.3466666666666667","76","3","f__Sphingomonadaceae","g__Sphingomonas.6","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae |  g__Sphingomonas.6","85.78947368421052","0","76","Sphingomonadales","0","p__Proteobacteria","0.9947561872090174","false","0","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae |  g__Sphingomonas.6","54918","0.1128808864265928"
"2.1037735849056602","0.0016065519113540234","c__Alphaproteobacteria","0.4753363228699552","0.3455445544554455","101","3","f__Sphingomonadaceae","g__uncultured","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae |  g__uncultured","89.9009900990099","0","101","Sphingomonadales","0","p__Proteobacteria","0.9952217593727027","false","0","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae |  g__uncultured","80002","0.10589044770201402"
"2.0716981132075474","0.001995666342627789","c__Alphaproteobacteria","0.482695810564663","0.29979879275653926","71","3","f__Sphingomonadaceae","0.999914469","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae | 0.999914469","85.77464788732394","0","71","Sphingomonadales","0","p__Proteobacteria","0.9953606142285387","false","0","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Sphingomonadales |  f__Sphingomonadaceae | 0.999914469","94030","0.09394813569257825"
"2.0367924528301886","0.002506888026107081","c__Gammaproteobacteria","0.4909680407596109","0.22168568920105355","68","3","f__Oxalobacteraceae","g__Massilia","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Gammaproteobacteria | Burkholderiales |  f__Oxalobacteraceae |  g__Massilia","87.77941176470588","0","68","Burkholderiales","0","p__Proteobacteria","0.9955117209834191","false","0","d__Bacteria |  p__Proteobacteria |  c__Gammaproteobacteria | Burkholderiales |  f__Oxalobacteraceae |  g__Massilia","107674","0.092108511820258"
