Full_name	Kingdom	Phylum	Class	Order	Family	Genus
k__Fungi | p__Fungi_phy_Incertae_sedis | c__Fungi_cls_Incertae_sedis | Fungi_ord_Incertae_sedis | f__Fungi_fam_Incertae_sedis | g__Fungi_gen_Incertae_sedis.50	k__Fungi 	 p__Fungi_phy_Incertae_sedis 	 c__Fungi_cls_Incertae_sedis 	 Fungi_ord_Incertae_sedis 	 f__Fungi_fam_Incertae_sedis 	 g__Fungi_gen_Incertae_sedis.50
k__Fungi | p__Ascomycota | c__Sordariomycetes | Sordariales | f__Chaetomiaceae | g__Chaetomium.1	k__Fungi 	 p__Ascomycota 	 c__Sordariomycetes 	 Sordariales 	 f__Chaetomiaceae 	 g__Chaetomium.1
k__Fungi | p__Ascomycota | c__Sordariomycetes | Coniochaetales | f__Coniochaetaceae | unassigned	k__Fungi 	 p__Ascomycota 	 c__Sordariomycetes 	 Coniochaetales 	 f__Coniochaetaceae 	 unassigned
k__Fungi | p__Ascomycota | c__Leotiomycetes | Helotiales | f__Helotiaceae | g__Tetracladium.2	k__Fungi 	 p__Ascomycota 	 c__Leotiomycetes 	 Helotiales 	 f__Helotiaceae 	 g__Tetracladium.2
k__Fungi | p__Fungi_phy_Incertae_sedis | c__Fungi_cls_Incertae_sedis | Fungi_ord_Incertae_sedis | f__Fungi_fam_Incertae_sedis | g__Fungi_gen_Incertae_sedis.51	k__Fungi 	 p__Fungi_phy_Incertae_sedis 	 c__Fungi_cls_Incertae_sedis 	 Fungi_ord_Incertae_sedis 	 f__Fungi_fam_Incertae_sedis 	 g__Fungi_gen_Incertae_sedis.51
k__Fungi | p__Ascomycota | c__Eurotiomycetes | Chaetothyriales | f__Herpotrichiellaceae | g__Herpotrichiellaceae_gen_Incertae_sedis.5	k__Fungi 	 p__Ascomycota 	 c__Eurotiomycetes 	 Chaetothyriales 	 f__Herpotrichiellaceae 	 g__Herpotrichiellaceae_gen_Incertae_sedis.5
k__Fungi | p__Ascomycota | c__Sordariomycetes | Sordariales | f__Lasiosphaeriaceae | g__Schizothecium.14	k__Fungi 	 p__Ascomycota 	 c__Sordariomycetes 	 Sordariales 	 f__Lasiosphaeriaceae 	 g__Schizothecium.14
k__Fungi | p__Ascomycota | c__Sordariomycetes | Hypocreales | f__Hypocreaceae | g__Trichoderma.2	k__Fungi 	 p__Ascomycota 	 c__Sordariomycetes 	 Hypocreales 	 f__Hypocreaceae 	 g__Trichoderma.2
k__Fungi | p__Ascomycota | c__Dothideomycetes | Pleosporales | f__Pleosporales_fam_Incertae_sedis | g__Pleosporales_gen_Incertae_sedis.16	k__Fungi 	 p__Ascomycota 	 c__Dothideomycetes 	 Pleosporales 	 f__Pleosporales_fam_Incertae_sedis 	 g__Pleosporales_gen_Incertae_sedis.16
k__Fungi | p__Ascomycota | c__Dothideomycetes | Pleosporales | f__Didymosphaeriaceae | g__Paraphaeosphaeria.1	k__Fungi 	 p__Ascomycota 	 c__Dothideomycetes 	 Pleosporales 	 f__Didymosphaeriaceae 	 g__Paraphaeosphaeria.1
k__Fungi | p__Ascomycota | c__Dothideomycetes | Pleosporales | unassigned | unassigned.6	k__Fungi 	 p__Ascomycota 	 c__Dothideomycetes 	 Pleosporales 	 unassigned 	 unassigned.6
k__Fungi | p__Ascomycota | c__Leotiomycetes | Erysiphales | f__Erysiphaceae | g__Golovinomyces	k__Fungi 	 p__Ascomycota 	 c__Leotiomycetes 	 Erysiphales 	 f__Erysiphaceae 	 g__Golovinomyces
k__Fungi | unassigned | unassigned | unassigned | unassigned | unassigned.85	k__Fungi 	 unassigned 	 unassigned 	 unassigned 	 unassigned 	 unassigned.85
k__Fungi | p__Ascomycota | c__Sordariomycetes | Hypocreales | f__Nectriaceae | g__Fusicolla.1	k__Fungi 	 p__Ascomycota 	 c__Sordariomycetes 	 Hypocreales 	 f__Nectriaceae 	 g__Fusicolla.1
k__Fungi | unassigned | unassigned | unassigned | unassigned | unassigned.88	k__Fungi 	 unassigned 	 unassigned 	 unassigned 	 unassigned 	 unassigned.88
k__Fungi | p__Ascomycota | c__Lecanoromycetes | Peltigerales | f__Pannariaceae | g__Pectenia	k__Fungi 	 p__Ascomycota 	 c__Lecanoromycetes 	 Peltigerales 	 f__Pannariaceae 	 g__Pectenia
k__Fungi | p__Ascomycota | c__Eurotiomycetes | Chaetothyriales | f__Herpotrichiellaceae | g__Cladophialophora.6	k__Fungi 	 p__Ascomycota 	 c__Eurotiomycetes 	 Chaetothyriales 	 f__Herpotrichiellaceae 	 g__Cladophialophora.6
k__Fungi | p__Ascomycota | c__Pezizomycetes | Pezizales | f__Pyronemataceae | g__Pyronemataceae_gen_Incertae_sedis.3	k__Fungi 	 p__Ascomycota 	 c__Pezizomycetes 	 Pezizales 	 f__Pyronemataceae 	 g__Pyronemataceae_gen_Incertae_sedis.3
k__Fungi | p__Ascomycota | c__Sordariomycetes | Diaporthales | f__Diaporthaceae | g__Diaporthe.1	k__Fungi 	 p__Ascomycota 	 c__Sordariomycetes 	 Diaporthales 	 f__Diaporthaceae 	 g__Diaporthe.1
k__Fungi | p__Ascomycota | c__Eurotiomycetes | Chaetothyriales | f__Herpotrichiellaceae | g__Cladophialophora.7	k__Fungi 	 p__Ascomycota 	 c__Eurotiomycetes 	 Chaetothyriales 	 f__Herpotrichiellaceae 	 g__Cladophialophora.7
