Feature.ID	ECOGEN2023_A1_A7_F2.R6	ECOGEN2023_A1_A7_F4.R2	ECOGEN2023_A1_A7_F4.R6	ECOGEN2023_A3_A9_F2.R2	ECOGEN2023_A3_A9_F2.R6	ECOGEN2023_A3_A9_F4.R2	ECOGEN2023_A4_A10_F2.R1	ECOGEN2023_A4_A10_F2.R2	ECOGEN2023_A4_A10_F2.R5	ECOGEN2023_A4_A10_F3.R1	ECOGEN2023_A4_A10_F3.R5	ECOGEN2023_A4_A10_F4.R2	ECOGEN2023_A4_A10_F4.R5	ECOGEN2023_A5_A11_F2.R1	ECOGEN2023_A5_A11_F2.R5	ECOGEN2023_B1_B7_F2.R6	ECOGEN2023_B1_B7_F4.R1	ECOGEN2023_B1_B7_F4.R5	ECOGEN2023_B1_B7_F4.R6	ECOGEN2023_B2_B8_F2.R6	ECOGEN2023_B2_B8_F4.R2	ECOGEN2023_B4_B10_F3.R1	ECOGEN2023_B4_B10_F3.R5	ECOGEN2023_B4_B10_F4.R2	ECOGEN2023_B4_B10_F4.R5	ECOGEN2023_B5_B11_F4.R1	ECOGEN2023_C2_C8_F2.R2	ECOGEN2023_C2_C8_F2.R6	ECOGEN2023_C2_C8_F4.R5	ECOGEN2023_D1_D7_F2.R2	ECOGEN2023_D1_D7_F2.R6	ECOGEN2023_D2_D8_F3.R1	ECOGEN2023_D2_D8_F3.R5	ECOGEN2023_D2_D8_F4.R2	ECOGEN2023_D2_D8_F4.R5	ECOGEN2023_D5_D11_F3.R1	ECOGEN2023_D5_D11_F3.R5	ECOGEN2023_D6_D12_F4.R1	ECOGEN2023_E1_E7_F3.R2	ECOGEN2023_E1_E7_F3.R6	ECOGEN2023_E1_E7_F4.R6	ECOGEN2023_E2_E8_F3.R1	ECOGEN2023_E2_E8_F3.R5	ECOGEN2023_E2_E8_F4.R1	ECOGEN2023_E2_E8_F4.R2	ECOGEN2023_E6_E12_F3.R1	ECOGEN2023_E6_E12_F3.R5	ECOGEN2023_E6_E12_F4.R1	ECOGEN2023_F2_F8_F3.R1	ECOGEN2023_F2_F8_F3.R5	ECOGEN2023_F2_F8_F4.R5	ECOGEN2023_F3_F9_F2.R1	ECOGEN2023_F3_F9_F2.R2	ECOGEN2023_F3_F9_F2.R5	ECOGEN2023_F6_F12_F2.R1	ECOGEN2023_G1_G7_F2.R1	ECOGEN2023_G1_G7_F2.R2	ECOGEN2023_G1_G7_F2.R5	ECOGEN2023_G1_G7_F2.R6	ECOGEN2023_G3_G9_F2.R6	ECOGEN2023_G3_G9_F4.R6	ECOGEN2023_G5_G11_F3.R1	ECOGEN2023_G5_G11_F3.R5	ECOGEN2023_G6_G12_F3.R1	ECOGEN2023_G6_G12_F3.R5	ECOGEN2023_G6_G12_F4.R5	ECOGEN2023_H1_H7_F2.R1	ECOGEN2023_H1_H7_F2.R2	ECOGEN2023_H1_H7_F2.R5	ECOGEN2023_H2_H8_F2.R6	ECOGEN2023_H2_H8_F4.R6	ECOGEN2023_H3_H9_F4.R1	ECOGEN2023_H3_H9_F4.R5	ECOGEN2023_H6_H12_F3.R1	ECOGEN2023_H6_H12_F3.R5	ECOGEN2023_H6_H12_F4.R5	ECOGEN2023_A1_A7_F5.R3	ECOGEN2023_A3_A9_F2.R3	ECOGEN2023_A3_A9_F5.R3	ECOGEN2023_A5_A11_F2.R2	ECOGEN2023_B1_B7_F5.R2	ECOGEN2023_B1_B7_F5.R5	ECOGEN2023_B2_B8_F4.R6	ECOGEN2023_B2_B8_F5.R3	ECOGEN2023_B5_B11_F5.R2	ECOGEN2023_C2_C8_F2.R3	ECOGEN2023_C2_C8_F5.R5	ECOGEN2023_C4_C10_F4.R5	ECOGEN2023_D1_D7_F2.R3	ECOGEN2023_D5_D11_F4.R2	ECOGEN2023_D5_D11_F4.R5	ECOGEN2023_D6_D12_F5.R2	ECOGEN2023_E1_E7_F4.R3	ECOGEN2023_E2_E8_F4.R5	ECOGEN2023_E2_E8_F5.R2	ECOGEN2023_E6_E12_F4.R2	ECOGEN2023_E6_E12_F4.R5	ECOGEN2023_E6_E12_F5.R2	ECOGEN2023_F2_F8_F4.R2	ECOGEN2023_F2_F8_F5.R5	ECOGEN2023_F6_F12_F2.R2	ECOGEN2023_G1_G7_F2.R3	ECOGEN2023_G4_G10_F4.R5	ECOGEN2023_G5_G11_F4.R2	ECOGEN2023_G5_G11_F4.R5	ECOGEN2023_G6_G12_F4.R2	ECOGEN2023_H3_H9_F5.R2	ECOGEN2023_H3_H9_F5.R5	ECOGEN2023_H6_H12_F4.R2
a2868fbccc2901bf358e63bda94f1688	0.00964600112380596	0.00802407221664995	0.0257293820353779	0.00732313325487119	0.0077370981893595	0	0	0	0	0	0.00674346726608598	0.00606295149638803	0	0	0	0	0	0	0	0	0.00901577761081893	0.0172623658293682	0.0385282887886151	0	0	0.00192133815551537	0.00602763892972655	0	0	0.00193099897013388	0.0057834422191282	0	0	0	0	0	0	0.0167092132745417	0.00988250796090919	0.00847689362865737	0	0	0.003747950339658	0	0.00733685158965118	0	0	0	0	0	0	0	0	0	0.000806234883095942	0	0.00801351940689054	0	0.00631624023123863	0	0	0	0	0.00927542557835007	0.00995024875621891	0	0.00304786649345458	0.0050007979996808	0.00288739172281039	0	0	0.00961923847695391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a6e6bcacec6f2c9a7cf2cfa9ef813d08	0	0	0	0	0	0.00786472670074715	0	0	0	0	0	0	0.0474544311753614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033889731917046	0.011015911872705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0063055780113177	0	0.00359815774323546	0	0	0	0	0	0	0	0.00853080568720379	0	0	0	0.0189852150537634	0	0	0	0	0	0.0100200400801603	0	0	0	0.0147835269271383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f7a6fcd66ada3722a49f06111f8c5790	0	0	0	0	0.00486559783042195	0	0	0.0062422934648582	0	0	0	0	0	0.0201626016260163	0.0108000332308715	0	0	0	0	0.00741997032011872	0	0	0	0	0	0	0.0185239635401353	0	0	0.00373326467559217	0.00792545785584235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00703314470493129	0	0	0.00792797635044343	0.00681659866653398	0.00730484081988661	0.0105612182242417	0	0.00623997147441612	0	0	0	0	0	0	0.00909363445588088	0.00829919668032133	0	0.00275351310292442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03e5eb6fdd4ada9fd64d0198d1c5c078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.266691493323403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d8d3596065eb95df5914dc1a1b164b7e	0	0	0.00987824488858259	0	0	0	0	0.00107891491985203	0	0	0	0.00696594427244582	0	0.00130081300813008	0	0	0.00532511210762332	0	0	0	0	0.00376231050127255	0	0	0	0.00904159132007233	0.0105851220229344	0	0	0	0	0	0.00340807174887892	0.0117390892738805	0	0	0	0	0	0	0	0	0	0.00709585859889047	0	0	0	0.00343938091143594	0.0112497443239926	0.00883587364700685	0	0	0	0	0.00530771298038162	0	0	0	0	0	0	0.00604265402843602	0.00557620817843866	0.0013094718463553	0.00102429031314018	0	0.00174877585690017	0	0	0	0.00550660792951542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83e9a54d8ecefb79cbf049cd6c276d41	0	0	0	0	0	0	0.0131535131535132	0	0.0123550367619192	0	0	0	0	0	0	0	0	0	0	0.00127199491202035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00581969913253541	0.00410172272354389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00107497984412792	0	0.00250763192324466	0	0.00363986725190022	0	0	0	0	0	0	0	0	0	0	0	0	0.00948563794255177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0f1fe4841915e065fdc455d8421b77e8	0.00262221389773366	0	0.0103376981392143	0	0	0	0.00765900765900766	0	0.00864094595618889	0.00496447830180604	0.00842933408260747	0.0043859649122807	0.00911376492771842	0	0	0	0.0135930493273543	0	0.010644959298685	0	0.00482988086293871	0.00763527719375899	0	0	0	0.00113019891500904	0	0	0	0.000772399588053553	0.00278462032772839	0.000388915896937287	0.002152466367713	0.0041654832907318	0	0	0	0.00232072406590856	0	0.00546896363139185	0	0.00785103170608958	0.0103068634340595	0	0.0039902175312138	0	0	0	0.00593168337083248	0.00684780207643031	0	0	0	0	0	0.00124390486615584	0.00408853030963803	0	0	0.00722053842039579	0.00156704723528095	0	0	0	0	0.000504032258064516	0.00439692215449186	0.00297919880832048	0.0014436958614052	0	0	0.00400801603206413	0.0145605824232969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
764657cb35fb7244a443c159eccb13d2	0	0	0	0	0	0	0	0	0	0	0	0.0230908152734778	0.0163419233186675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00759428497876175	0	0	0	0.00460216813254244	0	0	0	0.00222910890012505	0	0	0	0	0	0	0	0	0	0	0	0	0.0294018817204301	0	0	0.00818094321462945	0	0	0	0	0	0	0.0168954593453009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f4fcf60b036c82daaf60f7c90773d6c3	0	0	0.00321617275442224	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00336322869955157	0	0	0	0	0.00254509239791966	0	0	0	0	0.00308732725668921	0	0	0	0	0	0	0.00520685411341475	0	0	0	0	0	0	0	0	0	0	0.00231690050199511	0	0	0	0.00122724483534465	0.00265076209410205	0	0	0	0	0.000604676162321957	0	0	0	0	0	0	0.00580568720379147	0.00906133828996282	0	0	0.00184811827956989	0	0	0	0	0.00409062303335431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d402e600aefa6cb91381ddd70647a4e2	0	0	0	0	0	0	0	0	0.00144015765936481	0	0	0.00528895768833849	0.0116279069767442	0	0	0	0.00126121076233184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000799440391725792	0.0012767994892802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
