"node1"	"node2"	"edge"	"sig"
"423"	"Caulobacterales"	"Rhizobiales"	0.478689897060313	4.35879748726317e-37
"426"	"Caulobacterales"	"Soil_organic_matter"	0.165494884670317	0.0409561898272586
"428"	"Caulobacterales"	"Sphingomonadales"	0.549869495620898	1.38026826610393e-43
"431"	"Caulobacterales"	"Temp_avg_Week3"	0.208387789288669	0.0111952910492664
"433"	"Caulobacterales"	"Temp_high_Week1"	-0.261844423361976	0.000165153065531391
"437"	"Caulobacterales"	"Temp_low_Week1"	-0.202256708516739	0.000485744984431812
"439"	"Caulobacterales"	"Temp_low_Week3"	0.151217931638054	0.0354259706359477
"443"	"Caulobacterales"	"Wind_high_Week1"	0.287992367584896	0.000248330153099555
"444"	"Caulobacterales"	"Wind_high_Week2"	0.201189072024887	0.0374862971122755
"445"	"Caulobacterales"	"Wind_high_Week3"	0.166865193830367	0.0119356979554255
"446"	"Caulobacterales"	"Wind_high_Week4"	0.188821783462735	0.00502804618564034
"448"	"Caulobacterales"	"Wind_low_Week2"	0.154045108646724	0.0449846997969067
"451"	"Caulobacterales"	"Windgust_Week1"	0.275239996459546	0.000614266783781022
"454"	"Caulobacterales"	"Windgust_Week4"	0.183157623990845	0.00100469693282322
"457"	"Chaetothyriales"	"Burkholderiales"	-0.0583449196470795	0.0207193867329566
"461"	"Chaetothyriales"	"Chaetothyriales"	1	0
"462"	"Chaetothyriales"	"Dewpoint_avg_Week1"	-0.158241815064431	0.00172481456555499
"463"	"Chaetothyriales"	"Dewpoint_avg_Week2"	-0.173405334354503	0.000232628041607902
"464"	"Chaetothyriales"	"Dewpoint_avg_Week3"	-0.221692252546631	0.00410417614703678
"466"	"Chaetothyriales"	"Dewpoint_high_Week1"	-0.119187226187866	0.00433549380381642
"467"	"Chaetothyriales"	"Dewpoint_high_Week2"	-0.0872615831565674	0.00288775888411438
"468"	"Chaetothyriales"	"Dewpoint_high_Week3"	-0.171262926971806	0.0277528984348409
"470"	"Chaetothyriales"	"Dewpoint_low_Week1"	-0.143131001021644	0.00375181541030532
"471"	"Chaetothyriales"	"Dewpoint_low_Week2"	-0.136865887910167	0.00020776584503959
"472"	"Chaetothyriales"	"Dewpoint_low_Week3"	-0.175741854900922	0.0233355507092564
"474"	"Chaetothyriales"	"Helotiales"	0.422915387136794	2.59236985244257e-20
"487"	"Chaetothyriales"	"Hypocreales"	0.294901381553668	1.52693889403193e-08
"488"	"Chaetothyriales"	"Iron"	0.116441341682627	0.015827209358645
"490"	"Chaetothyriales"	"Manganese"	0.286649676707678	4.03588177516081e-05
"493"	"Chaetothyriales"	"PCoA1_plant_communities"	0.243428618236439	1.70831097534355e-05
"496"	"Chaetothyriales"	"pH"	-0.309204146121928	2.6882843948651e-05
"499"	"Chaetothyriales"	"Pleosporales"	0.444352759639969	3.92312465147936e-20
"502"	"Chaetothyriales"	"Precipitation.1"	-0.106444030926473	0.0182502862113367
