"node1"	"node2"	"edge"	"sig"
"304"	"Dewpoint_avg_Week1"	"Temp_low_Week3"	0.290743305790036	6.17266217232448e-08
"305"	"Dewpoint_avg_Week1"	"Temp_low_Week4"	0.239682304953298	1.39355538431098e-08
"306"	"Dewpoint_avg_Week1"	"total_green_algae"	0.0501501442762944	0.00577572383396929
"311"	"Dewpoint_avg_Week1"	"Wind_high_Week3"	0.144989685431361	0.00168650996873496
"319"	"Dewpoint_avg_Week1"	"Windgust_Week3"	0.0888467678755817	0.043561706194833
"324"	"Dewpoint_avg_Week2"	"Dewpoint_avg_Week1"	0.143572790522116	1.20646901923183e-11
"325"	"Dewpoint_avg_Week2"	"Dewpoint_avg_Week2"	1	0
"327"	"Dewpoint_avg_Week2"	"Dewpoint_avg_Week4"	0.463746827004231	3.72135568319609e-45
"328"	"Dewpoint_avg_Week2"	"Dewpoint_high_Week1"	0.522923836395691	1.30646376453965e-17
"329"	"Dewpoint_avg_Week2"	"Dewpoint_high_Week2"	0.394189622855459	5.94839748856038e-31
"331"	"Dewpoint_avg_Week2"	"Dewpoint_high_Week4"	0.582993888403225	7.08618639106261e-47
"332"	"Dewpoint_avg_Week2"	"Dewpoint_low_Week1"	0.370064242171381	1.87723382219772e-15
"333"	"Dewpoint_avg_Week2"	"Dewpoint_low_Week2"	0.8183581066284	5.38699896524799e-92
"335"	"Dewpoint_avg_Week2"	"Dewpoint_low_Week4"	0.533848228600958	3.88312467194128e-49
"336"	"Dewpoint_avg_Week2"	"Humidity_avg_Week1"	-0.538338159917926	8.69318521812881e-08
"337"	"Dewpoint_avg_Week2"	"Humidity_avg_Week2"	0.739044013537827	8.57877440082855e-40
"338"	"Dewpoint_avg_Week2"	"Humidity_avg_Week3"	-0.395363640288176	0.00372682079164771
"339"	"Dewpoint_avg_Week2"	"Humidity_avg_Week4"	0.235728362749689	1.85270839072374e-10
"341"	"Dewpoint_avg_Week2"	"Humidity_high_Week2"	0.392785772315772	3.11356028261862e-17
"343"	"Dewpoint_avg_Week2"	"Humidity_high_Week4"	0.0249923924788588	1.06278521504118e-05
"344"	"Dewpoint_avg_Week2"	"Humidity_low_Week1"	-0.506334123195858	8.1920107297618e-06
"345"	"Dewpoint_avg_Week2"	"Humidity_low_Week2"	0.663566429901319	1.15547094024138e-40
"346"	"Dewpoint_avg_Week2"	"Humidity_low_Week3"	-0.442831863089568	0.000814440671723149
"347"	"Dewpoint_avg_Week2"	"Humidity_low_Week4"	0.219116066257646	1.26261005523127e-12
"348"	"Dewpoint_avg_Week2"	"Iron"	-0.077300127699799	0.0443751285711604
"349"	"Dewpoint_avg_Week2"	"Magnesium"	-0.137685070226284	0.000438956042247272
"351"	"Dewpoint_avg_Week2"	"Organic_carbon"	-0.19773905044163	0.0283304924654374
"352"	"Dewpoint_avg_Week2"	"PCoA1_plant_communities"	-0.362765165590565	3.74654125030699e-08
"354"	"Dewpoint_avg_Week2"	"PCoA3_plant_communities"	-0.241034466279891	0.00393178761310706
"356"	"Dewpoint_avg_Week2"	"Phosphore"	0.0801953292834418	0.000381059293557526
"358"	"Dewpoint_avg_Week2"	"Potassium"	0.0254113703690189	0.00815395508203953
