Feature ID	Taxon	Phylum	Algae_group	Class	Order	Family	Genus	Genus_clean	Genus_abundant	species	confidence
b3c2bfc6fde15df6da5e41b3191e6538	d__Eukaryota	Basidiomycota	Other eukaryotes	Agaricomycetes	0.995485329				others		
b3c52885c0de10085c92e623728e1446	d__Eukaryota	Cercozoa	Other eukaryotes	unassigned					others		
b3c8f4ba0219ac52a624a0fb68772f9e	d__Eukaryota	Apicomplexa	Other eukaryotes	Conoidasida	 o__Gregarinasina	 f__Eugregarinorida	 g__Eugregarinorida	Apicomplexa	others	sp.	0.99999833
b3ca95011518ee1fff1704c8f7b96f20	d__Eukaryota	Cercozoa	Other eukaryotes	unassigned					others		
b3cf8f25aa3b3d6b6bb61832bdb2b713	d__Eukaryota	unassigned	Other eukaryotes						others		
b3cfe1b9a17cd0f388d4b0c6c5bff55f	d__Eukaryota	Ascomycota	Other eukaryotes	Dothideomycetes	 o__Pleosporales	0.974638074			others		
b3d0b4d10ada9a9dc2e6f78aaf3ce041	d__Eukaryota	unassigned	Other eukaryotes						others		
b3d1f5db873fcf4589500f6dafa1f6d2	d__Eukaryota	Cercozoa	Other eukaryotes	Thecofilosea	 o__Thecofilosea	 f__Thecofilosea	 g__Thecofilosea	metagenome	others		0.881668637
b3d7108d10aa47f47c74cfeb90f840f7	d__Eukaryota	Holozoa	Other eukaryotes	Ichthyosporea	 o__Rhinosporideacae	 f__Rhinosporideacae	 g__Rhinosporideacae	uncultured	others	eukaryote	0.841679518
b3d7427b6ca811500f4d96e578991fd5	d__Eukaryota	unassigned	Other eukaryotes						others		
b3da3ba1ab0add68c9c34fd1c8536045	d__Eukaryota	SAR	Other eukaryotes	Labyrinthulomycetes	 o__Labyrinthulomycetes	 f__Labyrinthulomycetes	 g__Sorodiplophrys	Sorodiplophrys	others	stercorea	0.995366529
b3df0534e90c61923d022e9cb8eeee5b	d__Eukaryota	Cercozoa	Other eukaryotes	Glissomonadida	 o__Glissomonadida	 f__Glissomonadida	 g__Heteromita	metagenome	others		0.999924938
b3e005e8980e5eed2570c14b6b25af55	d__Eukaryota	Amoebozoa	Other eukaryotes	Tubulinea	 o__Leptomyxida	 f__Leptomyxida	 g__Leptomyxida	metagenome	others		0.927868461
b3e075082193feefb475940e3d3728b6	d__Eukaryota	Ascomycota	Other eukaryotes	unassigned					others		
b3e2b1cb3780f29a7543f06d2db4a93f	d__Eukaryota	Holozoa	Other eukaryotes	Choanoflagellida	0.999875395				others		
b3e8a49b1eb852dbc7c6e85501950ee9	d__Eukaryota	unassigned	Other eukaryotes						others		
b3e8be4b10b87da41721b40baa59380a	d__Eukaryota	Amoebozoa	Other eukaryotes	Discosea	 o__Centramoebida	 f__Centramoebida	 g__Centramoebida	uncultured	others	eukaryote	0.955919969
b3e96b6a4435fe1c3abff3dc0ea99416	d__Eukaryota	Cercozoa	Other eukaryotes	Glissomonadida	 o__Glissomonadida	 f__Glissomonadida	 g__Glissomonadida	metagenome	others		0.915781738
b3ead1efd4209a8f0c6a51b6eb4e0139	d__Eukaryota	Ciliophora	Other eukaryotes	Intramacronucleata	 o__Conthreep	 f__Colpodea	 g__uncultured	metagenome	others		0.999613574
b3ee2dca8b2cbc54d2aca3aee5423f9b	d__Eukaryota	Ochrophyta	Other eukaryotes	Chrysophyceae	 o__Chromulinales	 f__Chromulinales	 g__Poterioochromonas		others		
b3f1ca1a44271ae30ff9b9528538c077	d__Eukaryota	Diatomea	Other eukaryotes	Bacillariophyceae	 o__Bacillariophyceae	 f__Bacillariophyceae	0.833195169		others		
b3f27b0b8bd45968a839af17d8840199	d__Eukaryota	Cercozoa	Other eukaryotes	uncultured	 o__uncultured	 f__uncultured	 g__uncultured	metagenome	others		0.9877518
b3f3d719d3f6f664fb174ef4be4cf05f	d__Eukaryota	SAR	Other eukaryotes	Labyrinthulomycetes	 o__Labyrinthulomycetes	 f__Labyrinthulomycetes	 g__Sorodiplophrys	Sorodiplophrys	others	stercorea	0.8107376
b3f453a89ddec3216b2bf10110a63c32	d__Eukaryota	unassigned	Other eukaryotes						others		
b3f4dd9540c276a8bb3efa2c11a3d6c3	d__Eukaryota	Ciliophora	Other eukaryotes	Intramacronucleata	 o__Conthreep	 f__Oligohymenophorea	 g__Tetrahymena		others		
b3f685dde8db63efc5c69e00e891c8ee	d__Eukaryota	uncultured	Other eukaryotes	uncultured	 o__uncultured	 f__uncultured	 g__uncultured	marine	others	metagenome	0.992136938
b3fb1f7aa729df04e93fa3e56e4e33c1	d__Eukaryota	Amoebozoa	Other eukaryotes	Tubulinea	 o__Euamoebida	 f__Euamoebida	 g__Hartmannella	Nolandella	others	sp.	0.901724132
b3fb45a4c70d46a106db9aafb4feccc4	d__Eukaryota	Cercozoa	Other eukaryotes	Glissomonadida	 o__Glissomonadida	 f__Glissomonadida	 g__uncultured	metagenome	others		0.999988796
b3fd515e3e8830a5e654c6d205d64eb0	d__Eukaryota	Cercozoa	Other eukaryotes	uncultured	 o__uncultured	 f__uncultured	 g__uncultured	metagenome	others		0.718513766
b3fdd2e5ece3a5943d7bccbf3e5b0dab	d__Eukaryota	Basidiomycota	Other eukaryotes	Agaricomycetes	 o__Agaricales	 f__Marasmiaceae	 g__Marasmiaceae	uncultured	others	fungus	0.950755296
b4005036ccbc654129af399cfae2a090	d__Eukaryota	Cercozoa	Other eukaryotes	Cercomonadidae	 o__Cercomonadidae	 f__Cercomonadidae	 g__Paracercomonas		others		
b400fd6b46dfa49a09ff861de130dd0f	d__Eukaryota	SAR	Other eukaryotes	Labyrinthulomycetes	 o__Labyrinthulomycetes	 f__Labyrinthulomycetes	 g__Sorodiplophrys	Sorodiplophrys	others	stercorea	0.953015864
b402a1148c2973f157d4776bcbec9dec	d__Eukaryota	Ochrophyta	Other eukaryotes	Xanthophyceae	0.999994672				others		
b403dbdeebd33b90be8828106a51b363	d__Eukaryota	Cercozoa	Other eukaryotes	Incertae_Sedis	 o__Incertae_Sedis	 f__Incertae_Sedis	 g__Gymnophrys	Cercozoa	others	sp.	0.717213988
b40459065aa08a702d5a41b67929a980	d__Eukaryota	Cercozoa	Other eukaryotes	Imbricatea	 o__Spongomonadida	 f__Spongomonadida	 g__Spongomonas	Spongomonas	others	minima	0.953307991
b4083b06db90ea38c1d8a32c46f33e6c	d__Eukaryota	Ciliophora	Other eukaryotes	Intramacronucleata	 o__Conthreep	 f__Colpodea	 g__Bromeliothrix		others		
b4086c2c6a64b01a983c453ca20c2328	d__Eukaryota	Phragmoplastophyta	Land plants	Embryophyta	0.98590853				others		
b40887fe73804fb60eb80c8c758d35c6	d__Eukaryota	Diatomea	Other eukaryotes	Bacillariophyceae	 o__Bacillariophyceae	 f__Bacillariophyceae	0.878182977		others		
b4091327e2d3d1207042192e7937a568	d__Eukaryota	Peronosporomycetes	Other eukaryotes	Peronosporomycetes	 o__Peronosporomycetes	 f__Peronosporomycetes	 g__Pythium		others		
b40ba7637a85622bda9dc52ced3b42fd	d__Eukaryota	unassigned	Other eukaryotes						others		
b40d6e0ff1613a5cb099f1104ca81ed4	d__Eukaryota	Cercozoa	Other eukaryotes	Thecofilosea	 o__Thecofilosea	 f__Thecofilosea	 g__Thecofilosea	metagenome	others		0.845688784
b41109e514017dcecb41a4c1a54d2fef	d__Eukaryota	Chlorophyta	Green algae	Chlorophyceae	 o__Chlorophyceae	 f__Chlorophyceae	 g__Chlorophyceae	unassigned	others		
b412243e738daa70acb68662da65183d	d__Eukaryota	Ciliophora	Other eukaryotes	Intramacronucleata	 o__Spirotrichea	 f__Hypotrichia	 g__Gonostomum		others		
b415ae5e39b44699de8ce59076ca1900	d__Eukaryota	Phragmoplastophyta	Land plants	Embryophyta	0.927759308				others		
b4163cb980eff32b008e6c1f73f73963	d__Eukaryota	Cercozoa	Other eukaryotes	Cercozoa	 o__Cercozoa	 f__Cercozoa	 g__Cercozoa	Nuclearia-like	others	filose	0.994458204
b416950d8ee85745af3044dfad0708c6	d__Eukaryota	Mucoromycota	Other eukaryotes	Incertae_Sedis	0.859707694				others		
b416caeff9778a7d82c5f6d3795cc647	d__Eukaryota	Cercozoa	Other eukaryotes	Thecofilosea	 o__Thecofilosea	 f__Thecofilosea	 g__Thecofilosea	metagenome	others		0.9619013
b41c294a14873390a7b1cfce2083abe9	d__Eukaryota	unassigned	Other eukaryotes						others		
b41c3a79d08113b99b3b06ae7e045e94	d__Eukaryota	Basidiomycota	Other eukaryotes	Malasseziomycetes	 o__Malasseziales	 f__Malasseziaceae	 g__Malassezia	Malassezia	others	restricta	0.984334849
b41ef5d12d3a910cc81e52bf6e2a08b8	d__Eukaryota	Cercozoa	Other eukaryotes	Glissomonadida	 o__Glissomonadida	 f__Glissomonadida	0.736953316		others		
b41fb58949e8701149f3e3437e0f9940	d__Eukaryota	Phragmoplastophyta	Land plants	Embryophyta	 o__Magnoliophyta	 f__Magnoliophyta	 g__Magnoliophyta		others		
b422b8efdbdc836eae861338c281c55f	d__Eukaryota	Basidiomycota	Other eukaryotes	Agaricomycetes	0.800550776				others		
b4230f4ed956a94db10e7b07864a1fc5	d__Eukaryota	Cercozoa	Other eukaryotes	Cercozoa	 o__Cercozoa	 f__Cercozoa	 g__Cercozoa	metagenome	others		0.999999997
b4259a7fb8c04c3f4b754a31ba14d33a	d__Eukaryota	Ochrophyta	Other eukaryotes	Xanthophyceae	 o__Mischococcales	 f__Mischococcales	 g__Chlorellidium	Chlorellidium	others	tetrabotrys	0.730176525
b4259bf636d7068f5e22e1eda53dcef5	d__Eukaryota	Phragmoplastophyta	Land plants	Embryophyta	0.867134179				others		
b425c13673fd457b91a22ac1a889b002	d__Eukaryota	Amoebozoa	Other eukaryotes	Tubulinea	 o__Leptomyxida	 f__Leptomyxida	 g__Leptomyxa	metagenome	others		0.726443908
b427997b4196be4ce742e14f469401ea	d__Eukaryota	Ascomycota	Other eukaryotes	Dothideomycetes	 o__Venturiales	 f__Sympoventuriaceae	 g__Fusicladium	Fusicladium	others	sicilianum	0.77810621
b4290e0aa0e38f33fd79dfda4e0fe2da	d__Eukaryota	Phragmoplastophyta	Land plants	Embryophyta	0.98493866				others		
b4298710590c9b3180c62e924d2029d6	d__Eukaryota	Cercozoa	Other eukaryotes	Cercomonadidae	 o__Cercomonadidae	 f__Cercomonadidae	 g__Cercomonas	eukaryotic	others	picoplankton	0.993638243
b42df502a99c01e9fcaa0221bcb8e443	d__Eukaryota	Ascomycota	Other eukaryotes	Pezizomycetes	 o__Pezizales	 f__Ascodesmidaceae	 g__Cephaliophora		others		
b42ec815091718b6309f102fe0db080f	d__Eukaryota	unassigned	Other eukaryotes						others		
b43038c5c62f8bf7954232b350660be0	d__Eukaryota	unassigned	Other eukaryotes						others		
b437610e20f40c242b1ac591ea113d3a	d__Eukaryota	Cercozoa	Other eukaryotes	Vampyrellidae	 o__Vampyrellidae	 f__Vampyrellidae	 g__Vampyrella	uncultured	others	eukaryote	0.970827211
b439026253b164163e7334bc61aece89	d__Eukaryota	Basidiomycota	Other eukaryotes	Agaricomycetes	0.712040572				others		
b439dad8cd2ff94b756fb76b0052af25	d__Eukaryota	Cercozoa	Other eukaryotes	Vampyrellidae	 o__Vampyrellidae	 f__Vampyrellidae	0.950005067		others		
b43a8d630fd3cf5e168d3ccce2440767	d__Eukaryota	Blastocladiomycota	Other eukaryotes	Blastocladiomycetes	 o__Blastocladiales	 f__Blastocladiales	 g__Blastocladiales	uncultured	others	fungus	0.999999999
b43c42e1fea9cd5a53aa41c5025fd8b1	d__Eukaryota	Cercozoa	Other eukaryotes	Cercomonadidae	 o__Cercomonadidae	 f__Cercomonadidae	 g__Cercomonas	metagenome	others		0.990703729
b43c82d71591937f9362e35b2d4b03db	d__Eukaryota	Gracilipodida	Other eukaryotes	Gracilipodida	 o__Gracilipodida	 f__Gracilipodida	 g__Telaepolella	Telaepolella	others	sp.	0.99446678
b43cc81be118e5dede249d8c28206204	d__Eukaryota	SAR	Other eukaryotes	Labyrinthulomycetes	 o__Labyrinthulomycetes	 f__Labyrinthulomycetes	 g__Sorodiplophrys	Sorodiplophrys	others	stercorea	0.99876947
b43f1f81bb302bc17f5da5a50f287b10	d__Eukaryota	Basidiomycota	Other eukaryotes	Agaricomycetes	 o__Polyporales	0.81323031			others		
b43f95767d18f045002a5a269262208b	d__Eukaryota	Cercozoa	Other eukaryotes	Cercozoa	 o__Cercozoa	 f__Cercozoa	 g__Cercozoa	Nuclearia-like	others	filose	0.986153258
b44110ee182d5354d0d52de03626b91c	d__Eukaryota	Cercozoa	Other eukaryotes	unassigned					others		
b441556075307d2e614a6051f65be740	d__Eukaryota	Chlorophyta	Green algae	Chlorophyceae	 o__Chlorophyceae	 f__Chlorophyceae	 g__Chlorophyceae	Pleurastrum	Pleurastrum	insigne	0.976122424
b4437ac2b95ecf88771f782c1d7b04eb	d__Eukaryota	Mucoromycota	Other eukaryotes	Incertae_Sedis	0.923569092				others		
b44476e5bb7c3cb61e801a6262484ac5	d__Eukaryota	Amoebozoa	Other eukaryotes	Discosea	 o__Vannellida	 f__Vannellida	 g__Vannella		others		
b44493d741fa55333720369cc2d33de1	d__Eukaryota	Cercozoa	Other eukaryotes	unassigned					others		
b446e304bba81bf665ee5957771a9a61	d__Eukaryota	Cercozoa	Other eukaryotes	Thecofilosea	0.999999707				others		
b44f1a1486f5433f4b5cb85335ea3378	d__Eukaryota	Cercozoa	Other eukaryotes	Cercomonadidae	 o__Cercomonadidae	 f__Cercomonadidae	 g__Cercomonas		others		
b44ff1578df460ca74fef5dacf5ec109	d__Eukaryota	Holozoa	Other eukaryotes	Choanoflagellida	 o__Craspedida	 f__Salpingoecidae	 g__Salpingoecidae	uncultured	others	eukaryote	0.882050829
b451a389851712c61282353e38859bb3	d__Eukaryota	Peronosporomycetes	Other eukaryotes	Peronosporomycetes	 o__Peronosporomycetes	 f__Peronosporomycetes	0.999963463		others		
b4557c71d92ee9c47e94de8e401079c8	d__Eukaryota	unassigned	Other eukaryotes						others		
b4567caf91ad0b25843f1f97cc4435c4	d__Eukaryota	Ciliophora	Other eukaryotes	Intramacronucleata	 o__Spirotrichea	 f__Hypotrichia	0.988495816		others		
b456d7a90415ba6d9c793583ba9687b4	d__Eukaryota	Ascomycota	Other eukaryotes	Eurotiomycetes	0.765361286				others		
b45a431da7480af3c2320f6825da851a	d__Eukaryota	Gracilipodida	Other eukaryotes	Gracilipodida	 o__Gracilipodida	 f__Gracilipodida	 g__Telaepolella	Telaepolella	others	sp.	0.926400526
b4622cd6840148482ad1cc9e6179805c	d__Eukaryota	Peronosporomycetes	Other eukaryotes	Peronosporomycetes	 o__Peronosporomycetes	 f__Peronosporomycetes	 g__Phytophthora		others		
b464370411dfc05b0e4917b7cd99ae8e	d__Eukaryota	Ochrophyta	Other eukaryotes	Chrysophyceae	0.99999716				others		
b4646f41cbf1c9814b10785dbaa2b6b9	d__Eukaryota	Amoebozoa	Other eukaryotes	Tubulinea	 o__Echinamoebida	 f__Echinamoebida	 g__Echinamoebida	metagenome	others		1
b4647b36104859d87d8bf3269a736b20	d__Eukaryota	Cercozoa	Other eukaryotes	Imbricatea	 o__Spongomonadida	 f__Spongomonadida	 g__Spongomonas	Spongomonas	others	minima	0.999996024
b466447000d5e9b75678bf4eb571eda2	d__Eukaryota	Phragmoplastophyta	Land plants	Embryophyta	 o__Magnoliophyta	 f__Magnoliophyta	 g__Magnoliophyta		others		
