Factor	Core_group	edge	sig	Category	Kingdom
Aluminium	Pleosporales	0.069059951	0.011546931	Soil_properties	Fungi
Aluminium	Solirubrobacterales	-0.134519422	0.030901719	Soil_properties	Bacteria
Aluminium	Sphingomonadales	0.085564307	0.014422277	Soil_properties	Bacteria
Calcium	Propionibacteriales	0.155816558	1.15E-05	Soil_properties	Bacteria
Carbon_nitrogen_ratio	Helotiales	0.143962615	0.02159432	Soil_properties	Fungi
Carbon_nitrogen_ratio	Microtrichales	-0.090123572	0.040603137	Soil_properties	Bacteria
Carbon_nitrogen_ratio	Solirubrobacterales	0.033302974	0.001422669	Soil_properties	Bacteria
Dewpoint_avg_Week1	Hypocreales	-0.214266883	0.00017063	Climatic_conditions	Fungi
Dewpoint_avg_Week1	Xylariales	-0.242970743	0.003368533	Climatic_conditions	Fungi
Dewpoint_avg_Week2	Hypocreales	-0.080154341	0.001819633	Climatic_conditions	Fungi
Dewpoint_avg_Week3	Caulobacterales	-0.184535446	5.08E-05	Climatic_conditions	Bacteria
Dewpoint_avg_Week3	Propionibacteriales	-0.182400812	0.000695886	Climatic_conditions	Bacteria
Dewpoint_avg_Week3	Solirubrobacterales	-0.142882799	0.037119162	Climatic_conditions	Bacteria
Dewpoint_avg_Week4	Chaetothyriales	0.020438901	0.043391328	Climatic_conditions	Fungi
Dewpoint_avg_Week4	Hypocreales	-0.065343228	0.028595564	Climatic_conditions	Fungi
Dewpoint_high_Week1	Burkholderiales	0.118687742	0.006309654	Climatic_conditions	Bacteria
Dewpoint_high_Week1	Helotiales	0.063652246	0.023706459	Climatic_conditions	Fungi
Dewpoint_high_Week1	Hypocreales	-0.13301721	0.022732577	Climatic_conditions	Fungi
Dewpoint_high_Week1	Microtrichales	0.108730231	0.007717537	Climatic_conditions	Bacteria
Dewpoint_high_Week1	Xylariales	-0.096718312	0.003838427	Climatic_conditions	Fungi
Dewpoint_high_Week2	Burkholderiales	0.08069301	0.033073162	Climatic_conditions	Bacteria
Dewpoint_high_Week2	Caulobacterales	-0.063525123	0.000154398	Climatic_conditions	Bacteria
Dewpoint_high_Week3	Caulobacterales	-0.191252	5.06E-05	Climatic_conditions	Bacteria
Dewpoint_high_Week3	Propionibacteriales	-0.115850636	0.006408088	Climatic_conditions	Bacteria
Dewpoint_low_Week1	Burkholderiales	0.118485607	0.012323659	Climatic_conditions	Bacteria
Dewpoint_low_Week1	Helotiales	0.076624669	0.012239873	Climatic_conditions	Fungi
