FeatureID	Domain	Phylum	Class	Order	Order_mod	Family	Genus	Species	confidence	core
1f8263f3a129e6f205c6e069653de9fc	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	0.897516481	Caulobacterales	
1fc8e915769e1e29654a87d7c9c4395a	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Hyphomonadaceae	g__SWB02	s__metagenome	0.955706259	Caulobacterales
1fd584383dcbb94259c93295f401be6a	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Caulobacter	0.888715328	Caulobacterales	
207943322addb06d83431bd862517e06	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	0.999984934	Caulobacterales		
20aee244bef2eb9d06b1e4f46a0400a0	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	0.785816635	Caulobacterales	
20fa58d465dfbfbe901e09d2599402f7	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.944274213	Caulobacterales	
21931e24e76840529dafe911d2f19dd9	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	s__uncultured_bacterium	0.77225317	Caulobacterales
221828c828da7718e269493f462012fd	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__PMMR1	s__uncultured_bacterium	0.792096708	Caulobacterales
222ffee51181fa64a42a30b6d66406c0	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Caulobacter	0.964890168	Caulobacterales	
225e9930d9f8a366979768195feb12c5	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	0.999742086	Caulobacterales		
235946d75ddb7eae8346ec23a6667d31	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.719311912	Caulobacterales	
235f03b173b47bb70f0d8437314ed3d6	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.75882639	Caulobacterales	
236abf680f08b925171df16c77fe3816	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Hyphomonadaceae	g__SWB02	0.999956891	Caulobacterales	
23be374ddf660d43f1ccbe6c7171a171	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	0.999989609	Caulobacterales		
23cfbe955d6f63610641d0856f9cae5b	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__uncultured_Caulobacter	0.870693042	Caulobacterales
23f3c00e763b2e655ece9e69bce6a463	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	0.999984764	Caulobacterales		
24019099c345872c5a8ef43cf21b573e	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	0.999984878	Caulobacterales		
2434f4dad2fa8624a0b7c538f02b892e	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	0.999871719	Caulobacterales		
24513fca648350082ddf8b5a764709eb	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	0.998251511	Caulobacterales		
2452f2497014334fe65ed27960ae741a	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	0.973356009	Caulobacterales	
