SampleID_16S	SampleID_ITS	Sample_ID	Site	Region	Cluster
ECOGEN2023_H4_H10_F4.R1	ECOGEN2023_H4_H10_F5.R2	SurveyECOGEN2023_416	BARR-A	Tarn-et-Garonne	3
ECOGEN2023_A5_A11_F4.R1	ECOGEN2023_A5_A11_F5.R2	SurveyECOGEN2023_417	AURE-B	Haute-Garonne	2
ECOGEN2023_B5_B11_F4.R1	ECOGEN2023_B5_B11_F5.R2	SurveyECOGEN2023_418	SAUB-C	Haute-Garonne	4
ECOGEN2023_C5_C11_F4.R1	ECOGEN2023_C5_C11_F5.R2	SurveyECOGEN2023_419	DECA-A	Tarn-et-Garonne	1
ECOGEN2023_B6_B12_F2.R1	ECOGEN2023_B6_B12_F2.R2	SurveyECOGEN2023_42	AURE-B	Haute-Garonne	2
ECOGEN2023_D5_D11_F4.R1	ECOGEN2023_D5_D11_F5.R2	SurveyECOGEN2023_420	LUNA-A	Haute-Garonne	1
ECOGEN2023_E5_E11_F4.R1	ECOGEN2023_E5_E11_F5.R2	SurveyECOGEN2023_421	BANI-B	Hautes-Pyrenees	2
ECOGEN2023_F5_F11_F4.R1	ECOGEN2023_F5_F11_F5.R2	SurveyECOGEN2023_422	MARS-B	Gers	1
ECOGEN2023_G5_G11_F4.R1	ECOGEN2023_G5_G11_F5.R2	SurveyECOGEN2023_423	SAMA-A	Gers	1
ECOGEN2023_H5_H11_F4.R1	ECOGEN2023_H5_H11_F5.R2	SurveyECOGEN2023_424	MARS-A	Gers	1
ECOGEN2023_A6_A12_F4.R1	ECOGEN2023_A6_A12_F5.R2	SurveyECOGEN2023_425	AUZE-A	Haute-Garonne	1
ECOGEN2023_B6_B12_F4.R1	ECOGEN2023_B6_B12_F5.R2	SurveyECOGEN2023_426	SAUB-B	Haute-Garonne	3
ECOGEN2023_C6_C12_F4.R1	ECOGEN2023_C6_C12_F5.R2	SurveyECOGEN2023_427	LAGR-A	Haute-Garonne	NA
ECOGEN2023_D6_D12_F4.R1	ECOGEN2023_D6_D12_F5.R2	SurveyECOGEN2023_428	DIEU-A	Tarn-et-Garonne	4
ECOGEN2023_E6_E12_F4.R1	ECOGEN2023_E6_E12_F5.R2	SurveyECOGEN2023_429	MONF-A	Gers	1
ECOGEN2023_C6_C12_F2.R1	ECOGEN2023_C6_C12_F2.R2	SurveyECOGEN2023_43	LABA-A	Haute-Garonne	1
ECOGEN2023_F6_F12_F4.R1	ECOGEN2023_F6_F12_F5.R2	SurveyECOGEN2023_430	PREI-A	Gers	1
ECOGEN2023_G6_G12_F4.R1	ECOGEN2023_G6_G12_F5.R2	SurveyECOGEN2023_431	CLAR-A	Haute-Garonne	1
ECOGEN2023_H6_H12_F4.R1	ECOGEN2023_H6_H12_F5.R2	SurveyECOGEN2023_432	LAMA-B	Haute-Garonne	NA
ECOGEN2023_A1_A7_F4.R2	ECOGEN2023_A1_A7_F5.R3	SurveyECOGEN2023_433	MONE-A	Tarn	4
ECOGEN2023_B1_B7_F4.R2	ECOGEN2023_B1_B7_F5.R3	SurveyECOGEN2023_434	ANGE-A	Tarn	1
