FeatureID	Taxon	Confidence
37afb0f726d28d9a779af803ecd06fd9	k__Fungi;p__Ascomycota	0.751205361
c7d9007c530180f64b6526a8dbf8c631	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH0035867.09FU	0.99999997
d5417a460c0601cf30aed8c9462c31b0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys;s__Clonostachys_rosea;sh__SH0104859.09FU	0.885187276
4df3c40c3729339636e604c3360b2db3	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales;f__Verrucariaceae;g__Verrucaria;s__Verrucaria_muralis;sh__SH0233636.09FU	0.99999964
6362062905db09de30a14b41030fed4c	k__Fungi;p__Ascomycota	0.85990125
929837e2460f6d62504f7512ceca7ba0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Knufia;s__Knufia_peltigerae;sh__SH0100936.09FU	0.996838952
5ed3e0826123a82f8ce99c1f8415caa8	k__Fungi;p__Ascomycota	0.703410651
7aa31c42d2770f6c819b6100fd95f529	k__Fungi	1
a9939b88d4d580112871a40809f47654	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Dictyosporiaceae;g__Dictyosporiaceae_gen_Incertae_sedis;s__Dictyosporiaceae_sp;sh__SH0038493.09FU	0.715537698
2874068c284892ac36623bf6973b7257	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Lulworthiales;f__Lulworthiaceae;g__Lulworthiaceae_gen_Incertae_sedis;s__Lulworthiaceae_sp;sh__SH0082174.09FU	0.999527328
9c52719024279001ae37943e543212ea	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_oxysporum;sh__SH0252559.09FU	0.745644613
ab6a83066cfa6c2836d3069c1b40a07c	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	0.999999957
953732bfae5edd59b4b199103c499293	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp	0.765306344
80da6c4621672e5a58cbf9dc21e9c7d6	k__Fungi	1
7bcaff8f85e508169abc4491aa35f6f4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Mycenaceae;g__Mycena;s__Mycena_sp;sh__SH0147163.09FU	0.933807816
5b5ad1c1e65a04bf2b2683a08ba522c1	k__Fungi	1
9797ffdc899eee02c7adf95188149e84	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	0.999999987
c002a2cc986818d9c34ad3161c6a5aea	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Paraphoma;s__Paraphoma_rhaphiolepidis;sh__SH0040186.09FU	0.766996355
9537bb921619137b9653607238563be8	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_oxysporum	0.721200224
183bd70636858654a9dfd564a83358a2	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp	0.821889692
84aa02c88947fc4a66332fe90782afe2	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis;s__Hypocreales_sp;sh__SH0109239.09FU	0.94648067
ec8e1ae2476e12712f85892cdf2a8c78	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Diatrypaceae;g__Monosporascus;s__Monosporascus_ibericus;sh__SH0045100.09FU	0.99942702
3ae6cf024ee90c99c3f4f86f9106d760	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.955677381
aff7038a09b801a5c391b058e5d7a866	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis;s__Hypocreales_sp;sh__SH0082683.09FU	0.999993098
130ab3b5fd677ea17e472f160d281b95	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH0100893.09FU	0.961496152
8b3635a8bd467e7189d06981afa4e21d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis;s__Hypocreales_sp;sh__SH0109239.09FU	0.979932082
7162fd8342697d99f34597004c45b58b	k__Fungi;p__Ascomycota;c__Sordariomycetes	0.753511246
181bd14515f8e6bdfbb9055a5de72db5	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp;sh__SH0198391.09FU	0.984101087
b54b8f7a9222f490553525009d1795ef	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__Preussia_flanaganii;sh__SH0107132.09FU	0.999267033
7286f81de3e508e05f67c073879fa778	k__Fungi	1
3fdc722edd2475c9e4c9c0be993c00f2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia;s__Curvularia_portulacae	0.990430537
58b83671ac9e2022e6210206a53482ad	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium;s__Schizothecium_sp	0.942276923
88101d8030a38198f39e17a00b0ce63f	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp;sh__SH0238987.09FU	0.981584171
3911b5eec20d5ff5d436685e2c28f250	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__Cladophialophora_sp;sh__SH0225845.09FU	0.999999996
5b4a9fcf77d768f8e8448c0e1ad080c9	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriales_fam_Incertae_sedis;g__Chaetothyriales_gen_Incertae_sedis;s__Chaetothyriales_sp;sh__SH0199267.09FU	0.955855659
0e11b7ee0831132199fbbd7e35bb1466	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Ophiosphaerella;s__Ophiosphaerella_sp;sh__SH0056045.09FU	0.999607785
e09566e06e61f11382ae0d9c21cbac8e	k__Fungi	1
7167308210a2bebaac12c61fd5799dd8	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria_sp;sh__SH0113379.09FU	0.922827089
7bf984d494dc7745dbf96530daf157fa	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae;g__Auxarthron;s__Auxarthron_umbrinum;sh__SH0003005.09FU	0.999999801
798865536b370f2ac8712da7e60b4f92	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectriaceae_gen_Incertae_sedis;s__Nectriaceae_sp;sh__SH0134314.09FU	0.764392039
6cb513a11808bf6ff1362beb934cd268	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Schizoparmaceae;g__Coniella;s__Coniella_fragariae;sh__SH0225311.09FU	0.998716616
6d3a645ff7d2a7cb8fd06fea2cc63494	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.995780862
ae61e6391f47f793375a21be15e68953	k__Fungi;p__Ascomycota;c__Sordariomycetes	0.72572922
fea3a2081cdd3e4fa177cebad5a27216	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricales_fam_Incertae_sedis;g__Agaricales_gen_Incertae_sedis;s__Agaricales_sp;sh__SH0114719.09FU	0.971842041
5cddbd20cf28676fa8592385ae2d7606	k__Fungi	1
487daf2788e7e4c9e3eea7cb7e605bbd	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricales_fam_Incertae_sedis;g__Agaricales_gen_Incertae_sedis;s__Agaricales_sp;sh__SH0114719.09FU	0.977881777
670bf052c8dcbddde0bbfee0a6d7d107	k__Fungi;p__Ascomycota	0.999986034
da42f1d40e24817bbfe689a3f280e504	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Pezizomycotina_gen_Incertae_sedis;s__Pezizomycotina_sp;sh__SH0084134.09FU	0.999962286
4d2f8de5ae19870fb966d18127f7f000	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp;sh__SH0246790.09FU	1
4435b9b859268c6bc83348c6d013a1eb	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Bartaliniaceae;g__Bartalinia;s__Bartalinia_robillardoides;sh__SH0213643.09FU	0.973638651
116896b0c3b9a535df9c9030da51cabe	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp	0.713024314
579c71346199c6bd7989b13dd5c5eba7	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum	0.999757626
2733296407dccbdce707f6c9a88830c6	k__Fungi	1
bcf2b0c9a165a7d1563ddc6f6e0070fa	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp;sh__SH0246790.09FU	0.876060134
824dd1cf1906ac7278dc126bb68110b7	k__Fungi;p__Ascomycota	0.804876573
0dd5c217ada3f553c1037320871f85da	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Purpureocillium	0.98225419
d4f140d1554407676276cbcc2917fcdb	k__Fungi	1
68a36d451df80aa8d9e2ca056fb7daa5	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Alphamycetaceae;g__Betamyces;s__Betamyces_sp;sh__SH0011315.09FU	0.858216965
d6e0df463431ed834bc45775ae7a36ad	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales	0.999999992
db2185d745372751481bb314b20a35be	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp;sh__SH0198391.09FU	0.98590634
bae5f35c0867e8414428208bae9c8344	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.907419039
715a5d3872fd3c05667063cb35a8ab88	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala	0.702451341
2ab5e9acc364c72cf894b2b1104f842a	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_opportunistica;sh__SH0214875.09FU	0.861036715
9c607b162c3b143ce5e28bbf378c9c40	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pleosporales_gen_Incertae_sedis;s__Pleosporales_sp;sh__SH0008548.09FU	0.999746266
3349f0b50c0cc58aa86de7ced77a9acf	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Bartaliniaceae;g__Truncatella;s__Truncatella_angustata;sh__SH0213656.09FU	0.812574865
7eb18d4d4606c05efa5aa34a37a59456	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales	0.999402289
9c15e07e9c6c25c5c6cd934375465238	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria_sp	0.709853245
3d584df7b509a39a0fcb6d1f4840e351	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_opportunistica;sh__SH0214875.09FU	0.954639133
e4aecf32e75e9df4d52a97f9074d94c4	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomiaceae_gen_Incertae_sedis;s__Chaetomiaceae_sp;sh__SH0112992.09FU	0.839500243
e446f9f8fa1435424c7eadfa67c1f47d	k__Fungi;p__Ascomycota;c__Sordariomycetes	0.824050675
438f2e5b599ad4f86554f427b9407a2e	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp;sh__SH0251170.09FU	0.871014334
f2b7d503c6be89aa386400cf2034d661	k__Fungi;p__Ascomycota	0.716438756
a9b69ae4ce64ffeac1a341791f1a154b	k__Fungi	1
299d22e0ac8add5c2260588bebd6feec	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariales_fam_Incertae_sedis;g__Auriculariales_gen_Incertae_sedis;s__Auriculariales_sp;sh__SH0112405.09FU	0.816677845
d4968af50880ba41fb8323650cdab621	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Paraleptosphaeria;s__Paraleptosphaeria_rumicis;sh__SH0230307.09FU	0.995577172
d3e0e1b8fee76c09d0d2888514a5b0ae	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales;f__Verrucariales_fam_Incertae_sedis;g__Verrucariales_gen_Incertae_sedis;s__Verrucariales_sp;sh__SH0233574.09FU	0.999944334
db446a98fd0bdea8f9ef0ccd309b5cfc	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp	0.800950251
f01f821c349819659537320e48d3332c	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__Cladophialophora_sp;sh__SH0225845.09FU	0.99999991
2c3d5801423771f5bc28201303ecb737	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Protrudomycetaceae;g__Protrudomyces;s__Protrudomyces_sp;sh__SH0162916.09FU	0.999999116
b4aadfdf793068d62925bf7191913e1d	k__Fungi	1
855d333f85bb11834437c4480289ed61	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_opportunistica;sh__SH0214875.09FU	0.909908831
f2924a779ecb91e19e2bc2dd4d6c6c4e	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae;g__Chrysosporium	0.750921369
223f4329811ed5d6f90f3905a41c6b12	k__Fungi	1
73d00b45d78fdb23459649795cb6327c	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Rhizophydiales_fam_Incertae_sedis;g__Rhizophydiales_gen_Incertae_sedis;s__Rhizophydiales_sp;sh__SH0076112.09FU	0.96590399
b45f5d512ef14ef0562fc2ff2f854910	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH0134446.09FU	0.997573043
a5dcb472de8f878c412d38f4843dfc2e	k__Fungi	1
997cabda991ca083984f05c60b63350e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Saccotheciaceae;g__Aureobasidium;s__Aureobasidium_pullulans;sh__SH0202545.09FU	0.996359893
3d7cebb76b1b1b5ca130eb7f4e969051	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Halosphaeriaceae;g__Cirrenalia;s__Cirrenalia_sp;sh__SH0008813.09FU	0.999261491
bc9357308e602142cfbaf5a725140de8	k__Fungi;p__Ascomycota	0.717518868
e5265d69b909d672915d1ba4d89b4498	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Magnaporthe;s__Magnaporthe_sp;sh__SH0014085.09FU	0.993444664
2a961fad0576a72b10fac8d80191be65	k__Fungi	1
ffb7557593888a07c121e051c1b97ccb	k__Fungi	1
99a3e03d649ada4d45319a6c3808e2b4	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH0083115.09FU	1
dc7b810a4def79367861a3923e59a021	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectriaceae_gen_Incertae_sedis;s__Nectriaceae_sp;sh__SH0105847.09FU	0.770253819
d7a9a110d2e745357d1f8284dc3a950b	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae	0.870281829
c1a82c0a4593c53a408e46f4566bc254	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Podosporaceae;g__Podospora;s__Podospora_bulbillosa;sh__SH0159591.09FU	0.946237396
d1dc43e8749c4e087c12f05589894346	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeriopsis;s__Phaeosphaeriopsis_sp;sh__SH0056938.09FU	0.933379894
